target_id,approved_symbol,approved_name,biotype,association_score,literature_mentions,trial_mentions,literature_documents_mentioned,trial_documents_mentioned,literature_to_trial_gap_signal,symbol_ambiguity_flag,mention_match_quality,text_coverage_status
ENSG00000102870,ZNF629,zinc finger protein 629,protein_coding,0.3875599337289517,0,0,0,0,0,low,not_detected,checked_zero_mentions
ENSG00000213380,COG8,component of oligomeric golgi complex 8,protein_coding,0.3873044681666114,0,0,0,0,0,low,not_detected,checked_zero_mentions
ENSG00000117450,PRDX1,peroxiredoxin 1,protein_coding,0.3871005489038768,0,0,0,0,0,low,not_detected,checked_zero_mentions
ENSG00000177169,ULK1,unc-51 like autophagy activating kinase 1,protein_coding,0.3867747660053675,0,0,0,0,0,low,not_detected,checked_zero_mentions
ENSG00000162909,CAPN2,calpain 2,protein_coding,0.3865689541821671,0,0,0,0,0,low,not_detected,checked_zero_mentions
ENSG00000196924,FLNA,filamin A,protein_coding,0.3863048961858492,0,0,0,0,0,low,not_detected,checked_zero_mentions
ENSG00000173145,NOC3L,NOC3 like DNA replication regulator,protein_coding,0.3856338193083906,0,0,0,0,0,low,not_detected,checked_zero_mentions
ENSG00000135047,CTSL,cathepsin L,protein_coding,0.3845392745093205,0,0,0,0,0,low,not_detected,checked_zero_mentions
ENSG00000205155,PSENEN,"presenilin enhancer, gamma-secretase subunit",protein_coding,0.3842460074978423,0,0,0,0,0,low,not_detected,checked_zero_mentions
ENSG00000140009,ESR2,estrogen receptor 2,protein_coding,0.3838728168114332,0,0,0,0,0,low,not_detected,checked_zero_mentions
ENSG00000198740,ZNF652,zinc finger protein 652,protein_coding,0.383294799860903,0,0,0,0,0,low,not_detected,checked_zero_mentions
ENSG00000067057,PFKP,"phosphofructokinase, platelet",protein_coding,0.3831423645300136,0,0,0,0,0,low,not_detected,checked_zero_mentions
ENSG00000132670,PTPRA,protein tyrosine phosphatase receptor type A,protein_coding,0.3829210564298622,0,0,0,0,0,low,not_detected,checked_zero_mentions
ENSG00000106261,ZKSCAN1,zinc finger with KRAB and SCAN domains 1,protein_coding,0.3827952299673144,0,0,0,0,0,low,not_detected,checked_zero_mentions
ENSG00000175592,FOSL1,"FOS like 1, AP-1 transcription factor subunit",protein_coding,0.3823325823443008,0,0,0,0,0,low,not_detected,checked_zero_mentions
ENSG00000120053,GOT1,glutamic-oxaloacetic transaminase 1,protein_coding,0.3820963803324482,0,0,0,0,0,low,not_detected,checked_zero_mentions
ENSG00000174672,BRSK2,BR serine/threonine kinase 2,protein_coding,0.3816725508350581,0,0,0,0,0,low,not_detected,checked_zero_mentions
